filename,oldInvariant,expected,sizeOfTrace,numOfPositives,numOfNegatives,solvingTime,formula
weakening/w_conseq_11_5_95_95.trace,"[](a -> b)","[](a -> b || c)",5,95,95,8.407,"[](a -> (b || c))"
weakening/w_conseq_3_5_50_50.trace,"[](a -> b)","[](a -> b || c)",5,50,50,1.295,"[](a -> (b || c))"
weakening/w_conseq_3_55_5_5.trace,"[](a -> b)","[](a -> b || c)",55,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_11_100_5_5.trace,"[](a -> b)","[](a && c -> b)",100,5,5,TO,-
weakening/w_conseq_11_40_5_5.trace,"[](a -> b)","[](a -> b || c)",40,5,5,138.81,"[](a -> (b || c))"
weakening/w_antec_11_95_5_5.trace,"[](a -> b)","[](a && c -> b)",95,5,5,TO,-
weakening/w_conseq_3_30_5_5.trace,"[](a -> b)","[](a -> b || c)",30,5,5,14.758,"[](a -> (b || c))"
weakening/w_antec_7_75_5_5.trace,"[](a -> b)","[](a && c -> b)",75,5,5,TO,-
weakening/w_conseq_11_5_25_25.trace,"[](a -> b)","[](a -> b || c)",5,25,25,2.559,"[](a -> (b || c))"
weakening/w_conseq_11_50_5_5.trace,"[](a -> b)","[](a -> b || c)",50,5,5,TO,-
weakening/w_conseq_3_10_5_5.trace,"[](a -> b)","[](a -> b || c)",10,5,5,0.776,"[](a -> (b || c))"
weakening/w_conseq_7_50_5_5.trace,"[](a -> b)","[](a -> b || c)",50,5,5,TO,-
weakening/w_conseq_3_85_5_5.trace,"[](a -> b)","[](a -> b || c)",85,5,5,TO,-
weakening/w_conseq_7_5_10_10.trace,"[](a -> b)","[](a -> b || c)",5,10,10,0.765,"[](a -> (b || c))"
weakening/w_conseq_7_45_5_5.trace,"[](a -> b)","[](a -> b || c)",45,5,5,124.626,"[](a -> (b || c))"
