filename,oldInvariant,expected,sizeOfTrace,numOfPositives,numOfNegatives,solvingTime,formula
weakening/w_antec_11_70_5_5.trace,"[](a -> b)","[](a && c -> b)",70,5,5,TO,-
weakening/w_antec_11_5_50_50.trace,"[](a -> b)","[](a && c -> b)",5,50,50,4.347,"[]((a && c) -> b)"
weakening/w_antec_3_35_5_5.trace,"[](a -> b)","[](a && c -> b)",35,5,5,34.111,"[]((a && c) -> b)"
weakening/w_antec_7_5_15_15.trace,"[](a -> b)","[](a && c -> b)",5,15,15,0.91,"[]((a && c) -> b)"
weakening/w_conseq_3_5_5_5.trace,"[](a -> b)","[](a -> b || c)",5,5,5,0.285,"[](a -> (b || c))"
weakening/w_antec_7_50_5_5.trace,"[](a -> b)","[](a && c -> b)",50,5,5,TO,-
weakening/w_conseq_11_10_5_5.trace,"[](a -> b)","[](a -> b || c)",10,5,5,2.142,"[](a -> (b || c))"
weakening/w_antec_7_85_5_5.trace,"[](a -> b)","[](a && c -> b)",85,5,5,TO,-
weakening/w_antec_7_20_5_5.trace,"[](a -> b)","[](a && c -> b)",20,5,5,7.872,"[]((a && c) -> b)"
weakening/w_conseq_3_5_25_25.trace,"[](a -> b)","[](a -> b || c)",5,25,25,0.777,"[](a -> (b || c))"
weakening/w_conseq_7_60_5_5.trace,"[](a -> b)","[](a -> b || c)",60,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_conseq_11_5_50_50.trace,"[](a -> b)","[](a -> b || c)",5,50,50,4.49,"[](a -> (b || c))"
weakening/w_conseq_11_5_90_90.trace,"[](a -> b)","[](a -> b || c)",5,90,90,8.099,"[](a -> (b || c))"
weakening/w_antec_3_50_5_5.trace,"[](a -> b)","[](a && c -> b)",50,5,5,154.3,"[]((a && c) -> b)"
weakening/w_antec_11_45_5_5.trace,"[](a -> b)","[](a && c -> b)",45,5,5,TO,-
weakening/w_conseq_7_30_5_5.trace,"[](a -> b)","[](a -> b || c)",30,5,5,28.059,"[](a -> (b || c))"
weakening/w_antec_7_15_5_5.trace,"[](a -> b)","[](a && c -> b)",15,5,5,2.708,"[]((a && c) -> b)"
weakening/w_conseq_7_5_40_40.trace,"[](a -> b)","[](a -> b || c)",5,40,40,1.983,"[](a -> (b || c))"
weakening/w_antec_3_5_65_65.trace,"[](a -> b)","[](a && c -> b)",5,65,65,1.589,"[]((a && c) -> b)"
weakening/w_conseq_3_5_45_45.trace,"[](a -> b)","[](a -> b || c)",5,45,45,1.201,"[](a -> (b || c))"
weakening/w_antec_7_5_50_50.trace,"[](a -> b)","[](a && c -> b)",5,50,50,2.622,"[]((a && c) -> b)"
weakening/w_antec_11_85_5_5.trace,"[](a -> b)","[](a && c -> b)",85,5,5,TO,-
weakening/w_antec_11_60_5_5.trace,"[](a -> b)","[](a && c -> b)",60,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_conseq_3_75_5_5.trace,"[](a -> b)","[](a -> b || c)",75,5,5,TO,-
weakening/w_conseq_7_90_5_5.trace,"[](a -> b)","[](a -> b || c)",90,5,5,TO,-
weakening/w_antec_7_45_5_5.trace,"[](a -> b)","[](a && c -> b)",45,5,5,128.757,"[]((a && c) -> b)"
weakening/w_conseq_7_5_60_60.trace,"[](a -> b)","[](a -> b || c)",5,60,60,3.066,"[](a -> (b || c))"
weakening/w_antec_3_5_70_70.trace,"[](a -> b)","[](a && c -> b)",5,70,70,1.86,"[]((a && c) -> b)"
weakening/w_conseq_3_5_85_85.trace,"[](a -> b)","[](a -> b || c)",5,85,85,2.236,"[](a -> (b || c))"
weakening/w_conseq_7_5_35_35.trace,"[](a -> b)","[](a -> b || c)",5,35,35,1.956,"[](a -> (b || c))"
weakening/w_conseq_11_5_5_5.trace,"[](a -> b)","[](a -> b || c)",5,5,5,0.901,"[](a -> (b || c))"
weakening/w_conseq_3_5_95_95.trace,"[](a -> b)","[](a -> b || c)",5,95,95,2.39,"[](a -> (b || c))"
weakening/w_antec_3_70_5_5.trace,"[](a -> b)","[](a && c -> b)",70,5,5,TO,-
weakening/w_antec_11_5_30_30.trace,"[](a -> b)","[](a && c -> b)",5,30,30,2.896,"[]((a && c) -> b)"
weakening/w_antec_7_5_80_80.trace,"[](a -> b)","[](a && c -> b)",5,80,80,4.256,"[]((a && c) -> b)"
weakening/w_antec_3_5_50_50.trace,"[](a -> b)","[](a && c -> b)",5,50,50,1.409,"[]((a && c) -> b)"
weakening/w_antec_3_5_55_55.trace,"[](a -> b)","[](a && c -> b)",5,55,55,1.501,"[]((a && c) -> b)"
weakening/w_conseq_3_5_55_55.trace,"[](a -> b)","[](a -> b || c)",5,55,55,1.489,"[](a -> (b || c))"
weakening/w_conseq_3_65_5_5.trace,"[](a -> b)","[](a -> b || c)",65,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_3_95_5_5.trace,"[](a -> b)","[](a && c -> b)",95,5,5,TO,-
weakening/w_conseq_11_5_15_15.trace,"[](a -> b)","[](a -> b || c)",5,15,15,1.761,"[](a -> (b || c))"
weakening/w_antec_3_80_5_5.trace,"[](a -> b)","[](a && c -> b)",80,5,5,TO,-
weakening/w_conseq_3_45_5_5.trace,"[](a -> b)","[](a -> b || c)",45,5,5,74.895,"[](a -> (b || c))"
weakening/w_conseq_3_5_80_80.trace,"[](a -> b)","[](a -> b || c)",5,80,80,2.101,"[](a -> (b || c))"
weakening/w_antec_3_25_5_5.trace,"[](a -> b)","[](a && c -> b)",25,5,5,8.862,"[]((a && c) -> b)"
weakening/w_conseq_7_5_75_75.trace,"[](a -> b)","[](a -> b || c)",5,75,75,3.842,"[](a -> (b || c))"
weakening/w_antec_7_25_5_5.trace,"[](a -> b)","[](a && c -> b)",25,5,5,15.544,"[]((a && c) -> b)"
weakening/w_conseq_7_100_5_5.trace,"[](a -> b)","[](a -> b || c)",100,5,5,TO,-
weakening/w_antec_3_60_5_5.trace,"[](a -> b)","[](a && c -> b)",60,5,5,"ERR:Unknown exception occurred: java.lang.OutOfMemoryError: GC overhead limit exceeded",-
weakening/w_antec_3_5_30_30.trace,"[](a -> b)","[](a && c -> b)",5,30,30,0.85,"[]((a && c) -> b)"
weakening/w_conseq_11_15_5_5.trace,"[](a -> b)","[](a -> b || c)",15,5,5,4.649,"[](a -> (b || c))"
weakening/w_antec_7_5_10_10.trace,"[](a -> b)","[](a && c -> b)",5,10,10,0.701,"[]((a && c) -> b)"
